Market,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,Stock,Stock,CPI,CPIAUCSL_PC1,FEDFUNDS,Real US Short Term Interest Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 05, 478.50 , 7.84 , 940.00 , 224.00 , 481.60 , 7.94 , 954.00 , 236.50 ,0.7635,0.7636, 87.52 , 87.62 , 115.88 , 116.09 , 635.96 , 10.41 ," 1,247.17 ", 297.83 , 640.34 , 10.61 ," 1,269.31 ", 313.92 ," 54,821.75 ", 899.29 ," 108,238.53 "," 25,887.68 "," 55,263.60 ", 917.63 ," 110,253.78 "," 27,313.39 ", 459.80 , 7.30 , 907.50 , 185.00 , 462.85 , 7.35 , 916.00 , 194.00 , 0.7450 , 0.7455 , 85.76 , 85.81 , 113.18 , 113.40 , 608.67 , 9.58 ," 1,190.51 ", 242.56 , 611.91 , 9.68 ," 1,206.22 ", 255.46 ," 52,733.65 ", 828.84 ," 103,094.32 "," 21,118.44 "," 52,988.86 ", 835.77 ," 104,158.36 "," 22,059.74 ", 469.23 , 7.62 , 924.40 , 201.42 , 471.98 , 7.76 , 939.35 , 216.38 , 0.7541 , 0.7544 , 86.51 , 86.59 , 114.67 , 114.84 , 621.99 , 10.10 ," 1,225.35 ", 267.03 , 625.95 , 10.29 ," 1,245.78 ", 287.01 ," 53,805.88 ", 873.31 ," 106,002.30 "," 23,102.00 "," 54,200.10 ", 890.69 ," 107,872.16 "," 24,853.76 ", 478.50 , 475.50 , 7.86 , 944.00 , 941.00 , 227.00 , 227.00 , 0.7634 , 4.0200 , 5.5000 , 463.15 , 462.85 , 7.35 , 914.00 , 914.00 , 192.00 , 192.00 , 0.7476 , 3.3600 , 5.5000 , 470.11 , 469.90 , 7.67 , 931.05 , 931.02 , 207.50 , 207.75 , 0.7539 ,3.779,5.500," 25,943.00 "," 4,460.00 ",,4.4,3.78,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 05, 500.95 , 8.30 , 995.00 , 264.00 , 504.00 , 8.44 ," 1,011.00 ", 275.00 ,0.7470,0.7475, 88.39 , 88.49 , 119.81 , 120.03 , 678.71 , 11.23 ," 1,350.87 ", 359.48 , 683.31 , 11.40 ," 1,372.28 ", 374.97 ," 59,698.21 ", 986.74 ," 118,672.25 "," 31,471.44 "," 60,167.52 "," 1,005.18 "," 120,659.64 "," 32,841.64 ", 455.45 , 7.36 , 915.00 , 212.00 , 457.50 , 7.43 , 924.00 , 222.00 , 0.7272 , 0.7277 , 85.96 , 86.00 , 116.40 , 116.61 , 616.14 , 9.92 ," 1,232.66 ", 285.60 , 620.46 , 10.02 ," 1,246.63 ", 299.51 ," 53,400.72 ", 859.57 ," 106,862.85 "," 24,770.08 "," 53,835.58 ", 869.24 ," 108,098.76 "," 25,971.78 ", 475.03 , 7.80 , 956.33 , 239.65 , 477.71 , 7.93 , 970.87 , 254.18 , 0.7350 , 0.7354 , 86.98 , 87.10 , 118.28 , 118.50 , 645.95 , 10.61 ," 1,300.48 ", 325.91 , 649.97 , 10.80 ," 1,321.01 ", 345.88 ," 56,196.65 ", 922.94 ," 113,131.61 "," 28,357.08 "," 56,619.03 ", 940.44 ," 115,065.68 "," 30,133.26 ", 497.30 , 496.00 , 8.29 , 997.00 , 995.00 , 266.00 , 268.00 , 0.7473 , 4.0300 , 5.5000 , 457.15 , 456.50 , 7.42 , 925.00 , 924.00 , 221.00 , 219.00 , 0.7303 , 3.9500 , 5.5000 , 476.67 , 476.68 , 7.87 , 963.15 , 962.61 , 246.14 , 245.30 , 0.7362 ,4.004,5.500," 27,108.00 "," 4,635.00 ",,3.3,4.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 05, 539.20 , 9.11 ," 1,012.00 ", 294.00 , 542.25 , 9.26 ," 1,026.00 ", 307.00 ,0.7566,0.7731, 91.28 , 100.00 , 121.45 , 133.03 , 716.64 , 12.14 ," 1,343.96 ", 390.44 , 720.89 , 12.36 ," 1,364.54 ", 408.68 ," 65,140.75 "," 1,100.58 "," 121,927.56 "," 35,415.24 "," 67,845.30 "," 1,161.35 "," 133,695.15 "," 37,647.49 ", 488.90 , 8.16 , 935.00 , 239.00 , 492.00 , 8.26 , 947.00 , 255.00 , 0.7250 , 0.7255 , 84.64 , 84.74 , 110.71 , 115.66 , 649.92 , 10.94 ," 1,235.29 ", 313.03 , 664.88 , 11.12 ," 1,262.33 ", 339.91 ," 55,626.24 ", 936.61 ," 105,728.05 "," 26,791.82 "," 57,486.40 ", 969.94 ," 110,136.10 "," 29,656.50 ", 507.96 , 8.56 , 971.99 , 258.25 , 510.73 , 8.70 , 987.56 , 273.68 , 0.7420 , 0.7430 , 88.06 , 88.18 , 118.52 , 118.82 , 683.74 , 11.52 ," 1,308.33 ", 347.53 , 688.33 , 11.73 ," 1,330.95 ", 368.74 ," 60,212.57 "," 1,014.42 "," 115,237.55 "," 30,627.23 "," 60,692.09 "," 1,034.07 "," 117,375.11 "," 32,535.09 ", 537.50 , 536.50 , 9.23 ," 1,011.00 "," 1,012.00 ", 297.00 , 295.00 , 0.7564 , 4.3000 , 5.5000 , 494.40 , 489.00 , 8.28 , 942.00 , 953.00 , 246.00 , 246.00 , 0.7249 , 3.9700 , 5.5000 , 509.42 , 510.10 , 8.64 , 977.85 , 979.89 , 265.55 , 266.14 , 0.7429 ,4.163,5.500," 27,943.00 "," 4,763.00 ",150.6,3.3,4.16,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 06, 569.45 , 9.85 ," 1,061.00 ", 282.00 , 572.50 , 10.00 ," 1,082.00 ", 296.00 ,0.7571,0.7575, 88.32 , 88.39 , 117.70 , 117.92 , 757.32 , 13.11 ," 1,414.84 ", 373.66 , 761.78 , 13.32 ," 1,441.13 ", 393.25 ," 66,840.06 "," 1,157.28 "," 124,613.60 "," 32,376.42 "," 67,313.29 "," 1,176.60 "," 127,362.22 "," 34,194.76 ", 516.20 , 8.67 , 890.00 , 233.63 , 519.25 , 8.83 , 981.00 , 256.25 , 0.7318 , 0.7323 , 81.90 , 82.00 , 113.74 , 113.92 , 698.56 , 11.59 ," 1,192.71 ", 308.42 , 702.68 , 11.81 ," 1,323.08 ", 338.46 ," 59,432.48 "," 1,003.98 "," 103,311.20 "," 25,260.08 "," 59,977.75 "," 1,021.11 "," 114,417.60 "," 27,754.44 ", 548.14 , 9.10 ," 1,020.76 ", 266.06 , 551.02 , 9.25 ," 1,037.02 ", 281.74 , 0.7501 , 0.7505 , 86.36 , 86.45 , 115.36 , 115.53 , 730.34 , 12.13 ," 1,360.05 ", 354.51 , 734.58 , 12.33 ," 1,382.49 ", 375.61 ," 63,079.57 "," 1,047.21 "," 117,753.47 "," 30,626.42 "," 63,507.62 "," 1,065.84 "," 119,805.93 "," 32,478.63 ", 569.80 , 568.75 , 9.91 ," 1,074.00 "," 1,073.00 ", 283.00 , 290.00 , 0.7554 , 4.4800 , 5.5000 , 520.75 , 524.75 , 8.83 , 982.00 , 982.00 , 261.00 , 264.00 , 0.7337 , 4.0900 , 5.5000 , 549.43 , 549.86 , 9.15 ," 1,029.05 "," 1,029.00 ", 273.40 , 273.86 , 0.7495 ,4.288,5.500," 28,918.00 "," 4,930.00 ",,4.0,4.29,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 06, 572.20 , 9.89 ," 1,081.00 ", 312.00 , 575.25 , 9.98 ," 1,093.00 ", 328.00 ,0.7576,0.7582, 89.30 , 89.40 , 119.04 , 119.25 , 767.08 , 13.18 ," 1,441.39 ", 418.01 , 771.92 , 13.39 ," 1,463.81 ", 439.56 ," 67,737.04 "," 1,170.98 "," 127,979.59 "," 37,003.20 "," 68,224.65 "," 1,185.32 "," 129,707.76 "," 38,969.68 ", 533.95 , 9.01 , 985.00 , 260.00 , 537.75 , 9.17 ," 1,002.00 ", 277.00 , 0.7345 , 0.7350 , 85.60 , 85.69 , 115.77 , 115.98 , 723.90 , 12.22 ," 1,334.15 ", 352.49 , 729.55 , 12.44 ," 1,358.09 ", 375.80 ," 62,659.03 "," 1,057.32 "," 116,072.40 "," 30,511.00 "," 63,223.27 "," 1,078.12 "," 118,286.10 "," 32,566.89 ", 554.27 , 9.47 ," 1,031.77 ", 282.28 , 557.21 , 9.62 ," 1,047.27 ", 297.88 , 0.7412 , 0.7416 , 87.32 , 87.41 , 117.74 , 117.93 , 747.36 , 12.77 ," 1,391.14 ", 380.59 , 751.76 , 12.98 ," 1,412.87 ", 401.86 ," 65,262.91 "," 1,115.28 "," 121,488.04 "," 33,240.48 "," 65,714.59 "," 1,134.43 "," 123,510.51 "," 35,132.90 ", 571.85 , 572.15 , 9.82 ," 1,080.00 "," 1,079.00 ", 315.00 , 315.00 , 0.7587 , 4.5400 , 5.5000 , 540.50 , 538.75 , 9.20 ," 1,002.00 ", 997.00 , 276.00 , 273.00 , 0.7356 , 4.4400 , 5.5000 , 555.52 , 555.00 , 9.53 ," 1,041.05 "," 1,041.75 ", 289.25 , 289.55 , 0.7420 ,4.491,5.500," 29,087.00 "," 4,921.00 ",,3.6,4.49,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 06, 587.40 , 11.84 ," 1,087.00 ", 347.00 , 590.60 , 11.99 ," 1,104.00 ", 360.00 ,0.7477,0.7482, 87.19 , 87.29 , 118.92 , 119.11 , 821.02 , 16.51 ," 1,521.13 ", 486.68 , 825.51 , 16.73 ," 1,546.00 ", 504.13 ," 68,960.76 "," 1,390.02 "," 127,602.93 "," 40,616.35 "," 69,448.90 "," 1,410.26 "," 129,852.48 "," 42,343.20 ", 539.85 , 9.68 , 996.00 , 271.00 , 542.50 , 9.83 ," 1,013.00 ", 288.00 , 0.7017 , 0.7019 , 82.15 , 82.25 , 115.53 , 115.69 , 734.89 , 12.97 ," 1,355.84 ", 368.51 , 738.90 , 13.18 ," 1,379.36 ", 392.16 ," 63,540.35 "," 1,119.69 "," 117,229.20 "," 31,872.31 "," 63,956.73 "," 1,139.10 "," 119,392.18 "," 33,937.92 ", 555.36 , 10.30 ," 1,034.07 ", 303.15 , 558.30 , 10.45 ," 1,050.05 ", 319.08 , 0.7268 , 0.7272 , 85.29 , 85.38 , 117.29 , 117.48 , 763.99 , 14.18 ," 1,422.66 ", 417.38 , 768.48 , 14.38 ," 1,445.46 ", 439.55 ," 65,134.12 "," 1,208.13 "," 121,278.58 "," 35,553.67 "," 65,585.82 "," 1,227.13 "," 123,352.98 "," 37,483.37 ", 584.00 , 584.00 , 11.76 ," 1,082.00 "," 1,084.00 ", 344.00 , 345.00 , 0.7481 , 5.0000 , 5.5000 , 545.25 , 535.00 , 9.79 ," 1,012.00 "," 1,006.00 ", 284.00 , 283.00 , 0.7049 , 4.4700 , 5.5000 , 557.22 , 557.09 , 10.38 ," 1,041.96 "," 1,041.09 ", 309.78 , 310.61 , 0.7279 ,4.589,5.500," 30,467.00 "," 5,130.00 ",151.9,3.4,4.59,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 06, 653.60 , 14.62 ," 1,148.00 ", 368.00 , 655.50 , 14.81 ," 1,161.00 ", 382.00 ,0.7576,0.7580, 87.60 , 87.70 , 119.11 , 119.25 , 866.75 , 19.59 ," 1,518.70 ", 495.02 , 871.50 , 19.86 ," 1,533.09 ", 513.51 ," 75,746.95 "," 1,714.63 "," 132,646.21 "," 43,236.32 "," 76,195.43 "," 1,740.18 "," 134,284.29 "," 44,999.60 ", 581.20 , 11.45 ," 1,053.00 ", 324.00 , 584.25 , 11.58 ," 1,067.00 ", 340.00 , 0.7124 , 0.7128 , 83.80 , 83.90 , 113.87 , 114.00 , 804.23 , 15.98 ," 1,456.24 ", 447.95 , 809.22 , 16.18 ," 1,476.74 ", 471.78 ," 67,866.78 "," 1,339.88 "," 123,339.08 "," 37,924.20 "," 68,368.97 "," 1,357.29 "," 125,063.07 "," 39,851.40 ", 609.22 , 12.57 ," 1,091.88 ", 345.31 , 612.00 , 12.74 ," 1,107.78 ", 361.02 , 0.7348 , 0.7351 , 86.02 , 86.11 , 117.03 , 117.21 , 828.48 , 17.10 ," 1,485.12 ", 469.62 , 832.70 , 17.33 ," 1,507.55 ", 491.26 ," 71,271.90 "," 1,471.16 "," 127,749.01 "," 40,401.03 "," 71,710.35 "," 1,492.93 "," 129,814.45 "," 42,306.61 ", 644.50 , 644.00 , 14.31 ," 1,149.00 "," 1,145.00 ", 370.00 , 369.00 , 0.7558 , 5.0000 , 5.5000 , 583.85 , 586.50 , 11.59 ," 1,063.00 "," 1,070.00 ", 334.00 , 336.00 , 0.7139 , 4.7000 , 5.5000 , 611.85 , 610.65 , 12.61 ," 1,101.78 "," 1,101.39 ", 353.26 , 352.89 , 0.7346 ,4.790,5.500," 31,246.00 "," 5,259.00 ",,3.6,4.79,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 06, 727.20 , 14.95 ," 1,335.00 ", 404.00 , 728.20 , 15.07 ," 1,379.00 ", 410.00 ,0.7773,0.7775, 87.63 , 87.73 , 114.06 , 114.27 , 937.35 , 19.26 ," 1,743.88 ", 520.48 , 942.25 , 19.43 ," 1,846.05 ", 530.82 ," 79,800.53 "," 1,636.73 "," 147,016.61 "," 44,229.92 "," 80,266.56 "," 1,655.29 "," 155,716.68 "," 45,219.04 ", 636.80 , 11.87 ," 1,147.00 ", 330.00 , 640.50 , 12.11 ," 1,163.00 ", 348.00 , 0.7470 , 0.7472 , 83.68 , 83.73 , 109.02 , 109.22 , 848.00 , 15.87 ," 1,511.52 ", 438.13 , 853.11 , 16.21 ," 1,530.47 ", 458.92 ," 71,766.76 "," 1,338.94 "," 129,884.72 "," 36,666.30 "," 72,240.88 "," 1,367.58 "," 132,372.66 "," 38,822.76 ", 673.80 , 13.38 ," 1,251.60 ", 361.28 , 677.01 , 13.60 ," 1,270.15 ", 378.15 , 0.7634 , 0.7637 , 85.32 , 85.42 , 111.73 , 111.91 , 882.10 , 17.51 ," 1,639.05 ", 472.91 , 886.72 , 17.81 ," 1,664.16 ", 495.25 ," 75,259.75 "," 1,494.68 "," 139,785.92 "," 40,356.98 "," 75,740.96 "," 1,522.08 "," 142,088.45 "," 42,310.97 ", 725.75 , 725.00 , 14.94 ," 1,335.00 "," 1,331.00 ", 402.00 , 404.00 , 0.7772 , 5.0500 , 5.7500 , 643.75 , 642.25 , 12.16 ," 1,164.00 "," 1,170.00 ", 338.00 , 336.00 , 0.7519 , 4.7800 , 5.5000 , 676.77 , 675.41 , 13.45 ," 1,263.86 "," 1,264.86 ", 368.76 , 369.38 , 0.7638 ,4.940,5.734," 29,776.00 "," 5,002.00 ",,4.0,4.94,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 06, 647.80 , 12.64 ," 1,281.00 ", 351.00 , 651.50 , 12.88 ," 1,300.00 ", 369.00 ,0.7583,0.7585, 85.59 , 85.69 , 116.49 , 117.96 , 856.83 , 16.66 ," 1,688.86 ", 469.31 , 879.37 , 16.99 ," 1,742.66 ", 495.50 ," 72,909.89 "," 1,422.63 "," 144,176.55 "," 39,417.30 "," 74,167.35 "," 1,451.70 "," 146,978.16 "," 41,519.88 ", 548.35 , 9.37 ," 1,085.00 ", 255.00 , 552.25 , 9.61 ," 1,107.00 ", 277.00 , 0.7150 , 0.7284 , 83.67 , 83.71 , 111.65 , 111.84 , 743.22 , 12.71 ," 1,470.59 ", 345.62 , 748.61 , 13.04 ," 1,501.42 ", 375.70 ," 63,093.15 "," 1,078.58 "," 124,796.70 "," 29,330.10 "," 63,624.72 "," 1,107.94 "," 127,482.12 "," 31,899.32 ", 595.73 , 10.73 ," 1,179.28 ", 307.07 , 599.33 , 10.96 ," 1,197.04 ", 324.39 , 0.7401 , 0.7406 , 84.83 , 84.92 , 114.55 , 114.75 , 804.25 , 14.48 ," 1,592.20 ", 414.52 , 809.68 , 14.81 ," 1,617.33 ", 438.21 ," 68,214.45 "," 1,228.00 "," 135,051.26 "," 35,154.55 "," 68,746.83 "," 1,257.27 "," 137,326.23 "," 37,203.29 ", 644.50 , 641.80 , 12.37 ," 1,258.00 "," 1,253.00 ", 361.00 , 359.00 , 0.7516 , 5.0800 , 5.7500 , 567.25 , 567.00 , 9.72 ," 1,128.00 "," 1,125.00 ", 286.00 , 282.00 , 0.7282 , 4.9100 , 5.7500 , 597.90 , 596.15 , 10.80 ," 1,187.00 "," 1,189.09 ", 315.27 , 316.64 , 0.7400 ,4.991,5.750," 30,405.00 "," 5,074.00 ",154.3,4.2,4.99,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 06, 673.75 , 11.68 ," 1,252.00 ", 327.00 , 678.90 , 11.89 ," 1,265.00 ", 342.00 ,0.7668,0.7672, 88.52 , 88.88 , 117.53 , 119.57 , 897.15 , 15.57 ," 1,668.67 ", 435.83 , 904.28 , 15.88 ," 1,757.52 ", 467.83 ," 78,561.45 "," 1,362.94 "," 146,095.88 "," 38,157.63 "," 79,213.30 "," 1,390.18 "," 149,582.07 "," 39,976.38 ", 611.75 , 10.40 ," 1,190.00 ", 294.00 , 614.00 , 10.65 ," 1,207.00 ", 310.00 , 0.7118 , 0.7414 , 84.53 , 85.00 , 112.18 , 112.71 , 810.96 , 13.92 ," 1,578.25 ", 390.80 , 817.14 , 14.27 ," 1,601.86 ", 411.17 ," 69,724.73 "," 1,219.50 "," 136,410.60 "," 34,139.28 "," 70,315.28 "," 1,251.27 "," 138,520.59 "," 36,056.10 ", 631.91 , 11.11 ," 1,222.12 ", 311.54 , 636.26 , 11.36 ," 1,238.65 ", 327.80 , 0.7515 , 0.7520 , 86.82 , 86.91 , 115.45 , 115.65 , 840.32 , 14.77 ," 1,625.28 ", 414.33 , 846.64 , 15.11 ," 1,648.30 ", 436.24 ," 72,954.57 "," 1,282.45 "," 141,087.60 "," 35,962.74 "," 73,582.65 "," 1,313.17 "," 143,240.52 "," 37,905.88 ", 671.50 , 663.25 , 11.75 ," 1,253.00 "," 1,258.00 ", 330.00 , 328.50 , 0.7658 , 5.3100 , 5.7500 , 616.40 , 605.70 , 10.52 ," 1,204.00 "," 1,196.00 ", 304.00 , 307.00 , 0.7416 , 5.0500 , 5.7500 , 633.09 , 633.73 , 11.23 ," 1,229.14 "," 1,228.83 ", 318.55 , 317.82 , 0.7510 ,5.235,5.750," 29,882.00 "," 4,986.00 ",,4.1,5.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 06, 652.30 , 12.59 ," 1,250.00 ", 343.00 , 657.80 , 12.84 ," 1,262.00 ", 358.00 ,0.7706,0.7709, 89.51 , 89.61 , 117.50 , 117.60 , 851.43 , 16.48 ," 1,631.68 ", 449.48 , 859.08 , 16.73 ," 1,654.65 ", 471.80 ," 74,903.61 "," 1,474.04 "," 145,062.12 "," 39,914.91 "," 75,660.60 "," 1,499.33 "," 146,645.09 "," 41,886.00 ", 612.00 , 11.29 ," 1,121.00 ", 305.00 , 613.80 , 11.40 ," 1,218.00 ", 319.00 , 0.7565 , 0.7570 , 86.14 , 87.45 , 112.32 , 114.32 , 802.17 , 14.76 ," 1,469.39 ", 398.43 , 804.35 , 14.96 ," 1,606.44 ", 417.81 ," 70,916.23 "," 1,292.59 "," 130,955.22 "," 34,919.45 "," 71,395.13 "," 1,308.26 "," 141,154.80 "," 36,930.18 ", 629.74 , 12.07 ," 1,224.97 ", 322.92 , 634.07 , 12.31 ," 1,240.99 ", 338.76 , 0.7624 , 0.7628 , 88.35 , 88.45 , 115.82 , 116.01 , 825.51 , 15.83 ," 1,605.79 ", 423.34 , 831.62 , 16.15 ," 1,627.65 ", 444.35 ," 72,927.03 "," 1,398.30 "," 141,866.46 "," 37,405.99 "," 73,547.97 "," 1,428.57 "," 143,956.56 "," 39,304.18 ", 650.50 , 654.40 , 12.60 ," 1,251.00 "," 1,249.00 ", 345.50 , 346.00 , 0.7699 , 5.3100 , 6.0000 , 614.70 , 613.40 , 11.36 ," 1,216.00 "," 1,216.00 ", 313.00 , 312.00 , 0.7565 , 5.1700 , 5.7500 , 631.56 , 632.61 , 12.18 ," 1,233.45 "," 1,234.00 ", 328.70 , 329.41 , 0.7629 ,5.247,5.992," 30,878.00 "," 5,115.00 ",,3.9,5.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 06, 638.20 , 13.07 ," 1,264.00 ", 350.00 , 643.20 , 13.23 ," 1,281.00 ", 367.00 ,0.7710,0.7712, 89.80 , 89.90 , 118.07 , 118.25 , 830.87 , 17.02 ," 1,648.11 ", 456.14 , 837.96 , 17.33 ," 1,671.25 ", 478.61 ," 74,139.31 "," 1,516.84 "," 147,022.46 "," 40,771.50 "," 74,857.69 "," 1,548.17 "," 149,264.25 "," 42,825.23 ", 538.20 , 10.60 ," 1,120.00 ", 284.00 , 576.30 , 10.85 ," 1,134.00 ", 301.00 , 0.7447 , 0.7449 , 87.45 , 87.55 , 114.71 , 114.89 , 717.22 , 14.03 ," 1,483.79 ", 378.16 , 765.14 , 14.37 ," 1,504.11 ", 401.07 ," 63,378.43 "," 1,244.45 "," 130,732.44 "," 33,074.64 "," 67,651.86 "," 1,274.86 "," 132,167.70 "," 35,117.67 ", 599.26 , 11.63 ," 1,180.64 ", 316.84 , 603.73 , 11.85 ," 1,196.52 ", 332.56 , 0.7560 , 0.7565 , 88.52 , 88.61 , 117.02 , 117.20 , 792.08 , 15.36 ," 1,560.44 ", 418.74 , 798.43 , 15.67 ," 1,582.29 ", 439.77 ," 70,120.33 "," 1,360.13 "," 138,148.56 "," 37,072.64 "," 70,752.98 "," 1,388.57 "," 140,222.39 "," 38,972.52 ", 636.70 , 637.75 , 13.15 ," 1,263.00 "," 1,268.00 ", 351.00 , 349.00 , 0.7718 , 5.3400 , 6.0000 , 576.25 , 573.60 , 10.70 ," 1,131.00 "," 1,127.00 ", 303.00 , 304.00 , 0.7484 , 5.2100 , 6.0000 , 600.15 , 598.19 , 11.68 ," 1,185.67 "," 1,183.60 ", 323.55 , 322.98 , 0.7565 ,5.255,6.000," 31,288.00 "," 5,154.00 ",155.7,2.0,5.25,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
